,Zip Code,Property Type,Avg. Sq Ft,Avg. Market Value,Avg. Year Built
538,78732,SFR,3500,565519,2010
539,78732,SFR,5253,820982,2009
540,78732,SFR,4840,795000,2009
541,78732,SFR,3773,620462,2008
542,78732,SFR,5982,864514,2011
543,78732,SFR,5026,769808,2009
544,78732,SFR,5190,745530,2011
545,78732,SFR,3832,538300,2011
546,78732,SFR,5405,768893,2011
547,78732,SFR,5100,756225,2008
548,78732,SFR,4234,674730,2012
549,78732,SFR,4270,631496,2010
550,78732,SFR,4167,573900,2011
551,78732,SFR,4854,667600,2011
552,78732,SFR,2936,436300,2011
553,78732,SFR,3590,509989,2011
554,78732,RESIDENTIAL ACREAGE,0,850,0
555,78732,SFR,3458,509200,2011
556,78732,SFR,4067,603391,2011
557,78732,SFR,4433,592946,2011
558,78732,SFR,4060,680700,2012
559,78732,SFR,3827,533300,2011
560,78732,SFR,2955,449000,2011
561,78732,SFR,4098,576809,2011
562,78732,SFR,4264,613208,2012
563,78732,SFR,3630,467900,2011
564,78732,SFR,4573,710600,2012
565,78732,SFR,3071,475457,2011
566,78732,SFR,5476,773800,2012
567,78732,SFR,4899,770307,2012
568,78732,SFR,5329,1047941,2006
569,78732,SFR,4258,742500,2007
570,78732,SFR,4920,751369,2012
571,78732,SFR,4899,737700,2011
572,78732,SFR,4553,685200,2012
573,78732,SFR,4981,770000,2009
574,78732,SFR,3773,651800,2012
575,78732,SFR,4971,913600,2010
576,78732,SFR,4836,789722,2012
577,78732,SFR,4971,772733,2012
578,78732,SFR,4575,696000,2009
579,78732,SFR,4885,748319,2012
580,78732,SFR,4073,607945,2010
581,78732,SFR,4084,551239,2010
582,78732,SFR,4383,577475,2010
583,78732,SFR,5393,788300,2010
584,78732,SFR,4392,552572,2010
585,78732,SFR,4027,695957,2012
586,78732,SFR,3845,522140,2011
587,78732,SFR,4070,543980,2010
588,78732,SFR,7397,1508700,2015
589,78732,SFR,3832,578000,2011
590,78732,SFR,3430,549200,2011
591,78732,SFR,3993,573600,2011
592,78732,SFR,5790,793300,2009
593,78732,SFR,4310,572993,2011
594,78732,SFR,3527,513868,2010
595,78732,SFR,3845,507043,2008
596,78732,SFR,2541,417814,2008
597,78732,SFR,4433,597324,2011
598,78732,SFR,4088,532849,2008
599,78732,SFR,3684,510502,2008
600,78732,SFR,3329,483270,2008
601,78732,SFR,3955,515808,2008
602,78732,SFR,3993,543301,2010
603,78732,SFR,3436,506237,2010
604,78732,SFR,5043,775900,2010
605,78732,SFR,3984,517567,2008
606,78732,SFR,4777,1015700,2008
607,78732,SFR,4486,1038973,2013
608,78732,SFR,6245,891100,2009
609,78732,SFR,4784,705600,2010
610,78732,SFR,3016,470664,2008
611,78732,SFR,3816,504980,2008
612,78732,SFR,3108,466000,2009
613,78732,SFR,2920,463780,2009
614,78732,SFR,3993,546300,2010
615,78732,SFR,4075,573379,2010
616,78732,SFR,3640,507264,2010
617,78732,SFR,3718,500000,2009
618,78732,SFR,4184,671290,2010
619,78732,SFR,2541,413241,2008
620,78732,RESIDENTIAL ACREAGE,0,850,0
621,78732,SFR,4189,511820,2008
622,78732,SFR,4971,750719,2012
623,78732,SFR,3863,497559,2008
624,78732,SFR,3448,487900,2009
625,78732,SFR,4953,986848,2013
626,78732,SFR,4896,734271,2012
627,78732,SFR,4354,658419,2010
628,78732,RESIDENTIAL (NEC),5686,674851,1984
629,78732,FARMS,2004,143646,1983
630,78732,SFR,4905,754836,2012
631,78732,SFR,4950,796393,2011
632,78732,SFR,4148,553800,2010
633,78732,SFR,3832,510000,2009
634,78732,SFR,4240,602485,2010
635,78732,SFR,4737,687100,2012
636,78732,SFR,4677,742285,2011
637,78732,SFR,4775,711058,2008
638,78732,SFR,3430,451130,2008
639,78732,SFR,3655,497630,2008
640,78732,SFR,5403,793200,2012
641,78732,SFR,5241,797000,2008
642,78732,SFR,4954,634930,2010
643,78732,SFR,2920,459016,2008
644,78732,SFR,4170,653446,2011
645,78732,SFR,3861,516706,2008
646,78732,SFR,5260,839000,2012
647,78732,SFR,3651,594085,2010
648,78732,SFR,3078,477700,2010
649,78732,SFR,2459,392000,2009
650,78732,SFR,4086,608233,2010
651,78732,SFR,4971,777622,2008
652,78732,SFR,2871,427206,2009
653,78732,SFR,4870,665482,2011
654,78732,SFR,5386,830400,2008
655,78732,SFR,3108,467008,2008
656,78732,SFR,4047,526200,2009
657,78732,SFR,4906,782700,2009
658,78732,SFR,5922,991300,2008
659,78732,SFR,3559,471735,2008
660,78732,SFR,4443,629000,2010
661,78732,SFR,4241,634000,2010
662,78732,SFR,3436,495509,2011
663,78732,SFR,3430,474003,2009
664,78732,SFR,3832,517900,2011
665,78732,SFR,4148,554281,2010
666,78732,SFR,4155,703900,2010
667,78732,SFR,2475,394533,2008
668,78732,SFR,3799,692500,2013
669,78732,SFR,3651,570500,2011
670,78732,SFR,3845,511750,2011
671,78732,SFR,3448,493756,2011
672,78732,SFR,2589,392026,2010
673,78732,SFR,5103,734700,2009
674,78732,SFR,3977,513000,2009
675,78732,SFR,3682,552033,2010
676,78732,SFR,3993,534755,2011
677,78732,SFR,4981,749300,2011
678,78732,SFR,3955,550437,2008
679,78732,SFR,2355,365000,2009
680,78732,SFR,5645,1132756,2014
681,78732,SFR,5343,756747,2008
682,78732,SFR,3915,506800,2009
683,78732,SFR,2475,382750,2009
684,78732,SFR,4070,554061,2010
685,78732,SFR,3832,566584,2010
686,78732,SFR,4287,552107,2011
687,78732,SFR,5322,801600,2010
688,78732,SFR,4203,583718,2011
689,78732,SFR,2396,393506,2009
690,78732,SFR,5971,793977,2008
691,78732,SFR,5506,837747,2011
692,78732,SFR,4648,762647,2009
693,78732,SFR,5692,1406000,2014
694,78732,SFR,2544,398000,2009
695,78732,SFR,4907,760000,2010
696,78732,SFR,4026,524100,2011
697,78732,SFR,4835,767500,2009
698,78732,RESIDENTIAL ACREAGE,0,850,0
699,78732,SFR,3849,581531,2010
700,78732,SFR,5410,825400,2010
701,78732,SFR,4336,614073,2011
702,78732,SFR,2475,392183,2009
703,78732,SFR,3872,521600,2011
704,78732,SFR,4148,581137,2011
705,78732,SFR,3845,532986,2010
706,78732,SFR,2589,379390,2008
707,78732,SFR,3832,538974,2010
708,78732,SFR,4439,748300,2010
709,78732,SFR,5165,797930,2011
710,78732,SFR,3430,443250,2008
711,78732,SFR,2556,376800,2009
712,78732,SFR,3605,544907,2012
713,78732,SFR,3561,541000,2010
714,78732,SFR,4971,758800,2010
715,78732,SFR,3861,532323,2010
716,78732,SFR,4340,568000,2012
717,78732,SFR,4469,718200,2011
718,78732,SFR,3448,497400,2009
719,78732,SFR,3108,477000,2009
720,78732,SFR,3909,554300,2011
721,78732,SFR,4083,556742,2011
722,78732,SFR,4239,629146,2010
723,78732,SFR,4111,600300,2010
